S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2020100403012017,NRIC,42,56,40,895,35800.00
2,2020100403012814,GUFL,38,5,85,144,12240.00
3,2020100403012011,NRIC,42,42,40,895,35800.00
4,2020100403012800,GLICL,38,33,488,635,309880.00
5,2020100403011977,NRIC,42,35,50,895,44750.00
6,2020100401028129,AIL,42,26,10,520,5200.00
7,2020100401027400,PRIN,34,49,50,615,30750.00
8,2020100401028135,AIL,34,45,10,520,5200.00
9,2020100401029756,NICL,35,42,59,571,33689.00
10,2020100403012797,GLICL,38,33,200,635,127000.00
11,2020100401028150,AIL,57,45,20,518,10360.00
12,2020100403011937,NRIC,42,32,400,891,356400.00
13,2020100403012016,NRIC,42,39,40,895,35800.00
14,2020100403012382,NLBBL,57,28,14,761,10654.00
15,2020100401029897,NICL,57,14,102,570,58140.00
16,2020100401027398,BOKL,38,28,300,280,84000.00
17,2020100401029708,AKPL,19,44,95,235,22325.00
18,2020100403011987,NRIC,42,33,40,895,35800.00
19,2020100403012015,NRIC,42,1,40,895,35800.00
20,2020100401029805,SJCL,18,40,20,171,3420.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
21,2020100401028322,RADHI,57,18,11,253,2783.00
22,2020100403011925,PLIC,20,38,50,671,33550.00
23,2020100403011966,NRIC,42,48,100,894,89400.00
24,2020100403011994,NRIC,42,8,40,895,35800.00
25,2020100401027319,PRVU,58,6,100,249,24900.00
26,2020100404003324,RLI,34,28,10,624,6240.00
27,2020100401027294,CBL,7,1,1000,163,163000.00
28,2020100401028300,UNHPL,48,45,400,110,44000.00
29,2020100401029878,NBL,58,28,100,332,33200.00
30,2020100403013176,KSBBL,34,16,571,201,114771.00
31,2020100401029807,HDL,58,54,95,1905,180975.00
32,2020100401027318,PRVU,58,6,17,248,4216.00
33,2020100401027420,UMHL,48,38,10,146,1460.00
34,2020100401028894,PRVU,48,25,500,249,124500.00
35,2020100403012435,NRIC,48,29,40,893,35720.00
36,2020100401027311,PRVU,58,45,369,248,91512.00
37,2020100401028178,NBL,58,42,5000,332,1660000.00
38,2020100404003439,NIBPO,48,13,500,368,184000.00
39,2020100401029741,NIL,7,57,29,840,24360.00
40,2020100401028211,NHPC,8,58,1000,97,97000.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2020100403012017,NRIC,42,56,40,895,35800.00
2,2020100403012814,GUFL,38,5,85,144,12240.00
3,2020100403012011,NRIC,42,42,40,895,35800.00
4,2020100403012800,GLICL,38,33,488,635,309880.00
5,2020100403011977,NRIC,42,35,50,895,44750.00
6,2020100401028129,AIL,42,26,10,520,5200.00
7,2020100401027400,PRIN,34,49,50,615,30750.00
8,2020100401028135,AIL,34,45,10,520,5200.00
9,2020100401029756,NICL,35,42,59,571,33689.00
10,2020100403012797,GLICL,38,33,200,635,127000.00
11,2020100401028150,AIL,57,45,20,518,10360.00
12,2020100403011937,NRIC,42,32,400,891,356400.00
13,2020100403012016,NRIC,42,39,40,895,35800.00
14,2020100403012382,NLBBL,57,28,14,761,10654.00
15,2020100401029897,NICL,57,14,102,570,58140.00
16,2020100401027398,BOKL,38,28,300,280,84000.00
17,2020100401029708,AKPL,19,44,95,235,22325.00
18,2020100403011987,NRIC,42,33,40,895,35800.00
19,2020100403012015,NRIC,42,1,40,895,35800.00
20,2020100401029805,SJCL,18,40,20,171,3420.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
21,2020100401028322,RADHI,57,18,11,253,2783.00
22,2020100403011925,PLIC,20,38,50,671,33550.00
23,2020100403011966,NRIC,42,48,100,894,89400.00
24,2020100403011994,NRIC,42,8,40,895,35800.00
25,2020100401027319,PRVU,58,6,100,249,24900.00
26,2020100404003324,RLI,34,28,10,624,6240.00
27,2020100401027294,CBL,7,1,1000,163,163000.00
28,2020100401028300,UNHPL,48,45,400,110,44000.00
29,2020100401029878,NBL,58,28,100,332,33200.00
30,2020100403013176,KSBBL,34,16,571,201,114771.00
31,2020100401029807,HDL,58,54,95,1905,180975.00
32,2020100401027318,PRVU,58,6,17,248,4216.00
33,2020100401027420,UMHL,48,38,10,146,1460.00
34,2020100401028894,PRVU,48,25,500,249,124500.00
35,2020100403012435,NRIC,48,29,40,893,35720.00
36,2020100401027311,PRVU,58,45,369,248,91512.00
37,2020100401028178,NBL,58,42,5000,332,1660000.00
38,2020100404003439,NIBPO,48,13,500,368,184000.00
39,2020100401029741,NIL,7,57,29,840,24360.00
40,2020100401028211,NHPC,8,58,1000,97,97000.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
41,2020100401028297,LEC,55,20,40,201,8040.00
42,2020100401027440,NCCB,55,6,1950,228,444600.00
43,2020100401028278,LEC,55,21,20,201,4020.00
44,2020100403012766,SWBBL,47,59,75,1268,95100.00
45,2020100403012819,CFCL,26,17,50,156,7800.00
46,2020100403012397,NRN,26,22,10,362,3620.00
47,2020100401028284,NICL,17,42,15,572,8580.00
48,2020100401029894,NICL,32,14,300,570,171000.00
49,2020100403012428,LBBL,32,59,100,209,20900.00
50,2020100401028998,BOKL,17,40,100,280,28000.00
51,2020100401029077,NCCB,32,4,10,228,2280.00
52,2020100403012804,GBLBS,53,48,50,521,26050.00
53,2020100403012813,PFL,53,39,36,173,6228.00
54,2020100401029729,CZBIL,50,14,1196,216,258336.00
55,2020100401029040,NHPC,42,59,200,96,19200.00
56,2020100401027306,CBL,42,1,70,162,11340.00
57,2020100401028993,NHPC,5,41,180,96,17280.00
58,2020100401028324,PMHPL,22,4,10,134,1340.00
59,2020100401029861,CZBIL,50,51,50,216,10800.00
60,2020100401028289,NBB,5,56,12,226,2712.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
61,2020100403012824,UFL,42,45,189,248,46872.00
62,2020100403012817,JBBL,5,58,100,193,19300.00
63,2020100401029813,NMB,4,42,10,418,4180.00
64,2020100401028288,NBB,5,41,500,225,112500.00
65,2020100401028287,NBB,5,49,100,225,22500.00
66,2020100401029084,PPCL,43,26,10,163,1630.00
67,2020100401029914,UPPER,25,57,50,277,13850.00
68,2020100403012451,GBBL,14,42,213,254,54102.00
69,2020100403013206,CIT,43,44,10,3500,35000.00
70,2020100401027443,PMHPL,14,58,10,133,1330.00
71,2020100401028197,NBL,25,42,196,331,64876.00
72,2020100404003332,RLI,25,28,10,624,6240.00
73,2020100401028175,NBL,14,42,500,332,166000.00
74,2020100403012400,GLBSL,52,21,10,726,7260.00
75,2020100401028202,BOKL,52,41,20,281,5620.00
76,2020100401029866,NIB,25,35,18,420,7560.00
77,2020100401028988,BPCL,25,45,152,401,60952.00
78,2020100403012440,GBBL,25,42,486,255,123930.00
79,2020100403012832,PFL,34,32,15,176,2640.00
80,2020100401029067,NMB,48,42,450,418,188100.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
81,2020100401029754,SHIVM,7,4,100,824,82400.00
82,2020100403013196,KSBBL,48,38,10,200,2000.00
83,2020100403013145,NRIC,6,16,10,891,8910.00
84,2020100401027381,NBL,58,11,90,332,29880.00
85,2020100403012436,NRIC,48,6,40,893,35720.00
86,2020100401029806,UPCL,6,49,50,122,6100.00
87,2020100403011918,SLICL,48,56,30,624,18720.00
88,2020100401028196,NBL,6,42,500,331,165500.00
89,2020100401028892,PRVU,48,38,920,249,229080.00
90,2020100403011899,NRN,6,20,10,362,3620.00
91,2020100401028936,HGI,41,52,1000,523,523000.00
92,2020100401027305,CBL,16,1,500,162,81000.00
93,2020100401027293,CBL,28,1,100,163,16300.00
94,2020100401028249,EBL,29,47,50,728,36400.00
95,2020100401028957,UPPER,16,21,50,274,13700.00
96,2020100401029021,AKJCL,38,26,20,115,2300.00
97,2020100401029815,GBIME,45,48,400,279,111600.00
98,2020100401027343,LBL,33,8,500,266,133000.00
99,2020100401029053,BPCL,1,34,300,401,120300.00
100,2020100403011883,PROFL,45,45,500,139,69500.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
101,2020100403011890,JFL,45,49,300,202,60600.00
102,2020100401028262,MBL,45,49,54,249,13446.00
103,2020100403012381,NMBMF,45,33,200,818,163600.00
104,2020100401028225,PRVU,45,4,100,247,24700.00
105,2020100401029050,NIB,1,41,111,419,46509.00
106,2020100403011884,PROFL,45,45,1000,139,139000.00
107,2020100401027281,NIL,50,58,200,840,168000.00
108,2020100401028280,UPPER,45,58,18,275,4950.00
109,2020100401028232,MBL,45,34,150,250,37500.00
110,2020100401028239,LBL,33,19,200,267,53400.00
111,2020100403011891,NRIC,6,42,10,890,8900.00
112,2020100403013203,KSBBL,36,38,100,200,20000.00
113,2020100401027406,SCB,6,45,74,668,49432.00
114,2020100401028209,BOKL,44,41,300,281,84300.00
115,2020100401028163,GBIME,37,48,44,279,12276.00
116,2020100403012452,GBBL,37,42,100,254,25400.00
117,2020100401029925,GHL,44,43,30,116,3480.00
118,2020100401027409,SCB,6,59,28,668,18704.00
119,2020100401027309,MBL,44,33,128,248,31744.00
120,2020100401027288,AIL,6,47,10,520,5200.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
121,2020100401029924,GHL,44,59,90,115,10350.00
122,2020100401027334,SIL,44,3,84,770,64680.00
123,2020100401029000,BOKL,28,17,50,281,14050.00
124,2020100403012389,PLIC,16,49,443,671,297253.00
125,2020100401027358,API,16,57,500,188,94000.00
126,2020100401028992,NHPC,38,41,220,96,21120.00
127,2020100401029074,MEGA,38,58,450,231,103950.00
128,2020100403013142,GBLBS,28,48,50,525,26250.00
129,2020100403012393,SLBSL,38,14,13,809,10517.00
130,2020100403012448,GBBL,28,42,60,255,15300.00
131,2020100403012861,SDLBSL,16,28,10,823,8230.00
132,2020100401028977,UMHL,16,29,250,145,36250.00
133,2020100403013163,KSBBL,29,43,1424,200,284800.00
134,2020100401029044,NHPC,58,59,335,96,32160.00
135,2020100403012866,SPARS,38,38,1,960,960.00
136,2020100403012447,GBBL,29,42,500,255,127500.00
137,2020100404003226,LUK,26,6,300,8.77,2631.00
138,2020100401027330,NMB,55,1,27,417,11259.00
139,2020100401028290,LEC,55,22,10,201,2010.00
140,2020100401027445,NBL,8,59,227,332,75364.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
141,2020100403011886,PROFL,10,45,500,139,69500.00
142,2020100403012843,SKBBL,47,19,25,1386,34650.00
143,2020100403013204,MNBBL,46,33,200,334,66800.00
144,2020100401027368,LEC,55,58,10,201,2010.00
